sub_ID,test,test_age,agegroup,condition,order,switch_dimension,training,training,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,post_1,post_2,post_3,post_4,post_5,post_6
072315_01,DCCS,3.014373717,3-3.5 years,A,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,0,0,0,0,0,0
070915_02,DCCS,3.017111567,3-3.5 years,B,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,1,0,1,0,1,0
080515_14,DCCS,3.052703628,3-3.5 years,C,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
080615_05,DCCS,3.101984942,3-3.5 years,C,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,0,0,0,0,0,0
080415_04,DCCS,3.115674196,3-3.5 years,A,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,1,1,0,0,0,1,1,1
080415_02,DCCS,3.143052704,3-3.5 years,A,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,0,0,0,0,0,0
080615_04,DCCS,3.195071869,3-3.5 years,B,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,0,0,0,0,0,0
080415_09,DCCS,3.211498973,3-3.5 years,B,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072215_06,DCCS,3.222450376,3-3.5 years,C,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,0,0,0,0,0,0
080615_03,DCCS,3.258042437,3-3.5 years,B,"SI, DCCS, Quantifier",color - shape,1,1,0,0,0,0,1,0,1,1,1,1,1,1
080615_01,DCCS,3.282683094,3-3.5 years,A,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,0,0,0,0,0,0
080615_02,DCCS,3.307323751,3-3.5 years,C,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,0,0,0,0,0,0
072015_05,DCCS,3.34017796,3-3.5 years,B,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
080515_12,DCCS,3.367556468,3-3.5 years,B,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
080415_07,DCCS,3.370294319,3-3.5 years,A,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,0,1,0,0,0,0
072215_03,DCCS,3.378507871,3-3.5 years,C,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,0,0,0,0,0,0
080515_10,DCCS,3.389459274,3-3.5 years,A,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072315_02,DCCS,3.430527036,3-3.5 years,C,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072215_01,DCCS,3.452429843,3.5-4 years,C,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
071315_02,DCCS,3.463381246,3.5-4 years,A,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
080515_13,DCCS,3.47980835,3.5-4 years,A,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072015_04,DCCS,3.518138261,3.5-4 years,C,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
080515_05,DCCS,3.589322382,3.5-4 years,B,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,0,0,0,0,0,0
072115_02,DCCS,3.605749487,3.5-4 years,B,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
071415_04,DCCS,3.608487337,3.5-4 years,B,"Quantifier, DCCS, SI",color - shape,1,1,0,1,0,1,0,1,0,1,0,1,0,1
080515_01,DCCS,3.646817248,3.5-4 years,A,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,1,1,0,0,1,0
080515_08,DCCS,3.772758385,3.5-4 years,A,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072215_07,DCCS,3.830253251,3.5-4 years,A,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,1,1,0,0,0,0,0,0
072015_06,DCCS,3.832991102,3.5-4 years,B,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
080515_09,DCCS,3.874058864,3.5-4 years,B,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
071415_01,DCCS,3.885010267,3.5-4 years,B,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,0,0,0,0,0,0
070915_03,DCCS,3.89596167,3.5-4 years,C,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
080515_11,DCCS,3.901437372,3.5-4 years,C,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,0,0,0,1,0,0,0
072115_01,DCCS,3.904175222,3.5-4 years,C,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,0,1,1,1,1,1,1,1
071415_06,DCCS,3.947980835,3.5-4 years,C,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,0,0,0,0,0,0
070915_04,DCCS,3.972621492,3.5-4 years,A,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
080415_10,DCCS,4.016427105,4-4.5 years,B,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
