sub_ID,test,test_age,agegroup,condition,order,training,1_condition,1_given,1_correct,2_condition,2_given,2_correct,3_condition,3_given,3_correct,4_condition,4_given,4_correct,5_condition,5_given,5_correct,6_condition,6_given,6_correct,7_condition,7_given,7_correct,8_condition,8_given,8_correct,all_score,none_score,most_score,some_score
072315_01,GQ,3.014373717,3-3.5 years,2A,"SI, DCCS, Quantifier",1,most,3,0,all,8,1,none,8,0,some,8,0,all,8,1,none,8,0,some,8,0,most,8,1,2,0,0,0
070915_02,GQ,3.017111567,3-3.5 years,1B,"SI, DCCS, Quantifier",1,all,8,1,most,8,0,some,8,0,all,8,1,none,8,0,most,8,0,none,8,0,some,8,0,2,0,0,0
080515_14,GQ,3.052703628,3-3.5 years,2C,"SI, DCCS, Quantifier",1,most,8,0,all,8,1,none,8,0,some,8,0,all,8,1,none,0,1,some,8,0,most,8,1,2,1,0,0
080615_05,GQ,3.101984942,3-3.5 years,2C,"Quantifier, DCCS, SI",1,most,8,0,all,8,1,none,8,0,some,8,0,all,8,1,none,8,0,some,8,0,most,8,1,2,0,0,0
080415_04,GQ,3.115674196,3-3.5 years,1A,"SI, DCCS, Quantifier",1,all,8,1,most,4,0,some,3,1,all,8,1,none,0,1,most,3,0,none,0,1,some,3,1,2,2,0,2
080415_02,GQ,3.143052704,3-3.5 years,2A,"Quantifier, DCCS, SI",1,most,2,0,all,8,1,none,0,1,some,2,1,all,8,1,none,0,1,some,5,1,most,4,0,2,2,0,2
080615_04,GQ,3.195071869,3-3.5 years,2B,"Quantifier, DCCS, SI",1,most,8,0,all,8,1,none,0,1,some,3,1,all,8,1,none,0,1,some,3,1,most,3,0,2,2,0,2
080415_09,GQ,3.211498973,3-3.5 years,1B,"SI, DCCS, Quantifier",1,all,8,1,most,8,0,some,8,0,all,8,1,none,8,0,most,8,0,none,8,0,some,8,0,2,0,0,0
072215_06,GQ,3.222450376,3-3.5 years,2C,"SI, DCCS, Quantifier",1,most,8,0,all,8,1,none,8,0,some,3,1,all,8,1,none,0,1,some,8,0,most,8,1,2,1,0,1
080615_03,GQ,3.258042437,3-3.5 years,1B,"SI, DCCS, Quantifier",1,all,8,1,most,8,0,some,8,0,all,8,1,none,8,0,most,8,0,none,8,0,some,8,0,2,0,0,0
080615_01,GQ,3.282683094,3-3.5 years,2A,"Quantifier, DCCS, SI",1,most,8,0,all,8,1,none,8,0,some,3,1,all,8,1,none,8,0,some,4,1,most,8,1,2,0,0,2
080615_02,GQ,3.307323751,3-3.5 years,1C,"Quantifier, DCCS, SI",1,all,8,1,most,8,0,some,8,0,all,8,1,none,1,0,most,5,1,none,8,0,some,8,0,2,0,1,0
072015_05,GQ,3.34017796,3-3.5 years,1B,"Quantifier, DCCS, SI",1,all,8,1,most,8,0,some,8,0,all,8,1,none,0,1,most,8,0,none,0,1,some,8,0,2,2,0,0
080515_12,GQ,3.367556468,3-3.5 years,2B,"Quantifier, DCCS, SI",1,most,4,0,all,8,1,none,0,1,some,4,1,all,8,1,none,0,1,some,6,1,most,8,1,2,2,0,2
080415_07,GQ,3.370294319,3-3.5 years,1A,"SI, DCCS, Quantifier",1,all,8,1,most,6,1,some,7,1,all,8,1,none,0,1,most,8,0,none,0,1,some,8,0,2,2,1,1
072215_03,GQ,3.378507871,3-3.5 years,1C,"Quantifier, DCCS, SI",1,all,8,1,most,8,0,some,8,0,all,8,1,none,8,0,most,8,0,none,8,0,some,8,0,2,0,0,0
080515_10,GQ,3.389459274,3-3.5 years,1A,"Quantifier, DCCS, SI",1,all,8,1,most,8,0,some,8,0,all,8,1,none,8,0,most,5,1,none,8,0,some,8,0,2,0,1,0
072315_02,GQ,3.430527036,3-3.5 years,1C,"SI, DCCS, Quantifier",1,all,8,1,most,8,0,some,8,0,all,8,1,none,8,0,most,8,0,none,8,0,some,8,0,2,0,0,0
072215_01,GQ,3.452429843,3.5-4 years,2C,"SI, DCCS, Quantifier",1,most,8,0,all,8,1,none,0,1,some,2,1,all,8,1,none,0,1,some,8,0,most,8,1,2,2,0,1
071315_02,GQ,3.463381246,3.5-4 years,2A,"Quantifier, DCCS, SI",1,most,6,1,all,8,1,none,0,1,some,5,1,all,8,1,none,0,1,some,6,1,most,6,1,2,2,2,2
