sub_ID,test_age,agegroup,condition,order,training,carrot_condition,carrot_type,carrot_selection,carrot_target,carrot,hat_condition,hat_type,hat_selection,hat_target,hat,cookies_condition,cookies_type,cookies_selection,cookies_target,cookies,trains_condition,trains_type,trains_selection,trains_target,trains,cats_condition,cats_type,cats_selection,cats_target,cats,purses_condition,purses_type,purses_selection,purses_target,purses,keys_condition,keys_type,keys_selection,keys_target,keys,shirts_condition,shirts_type,shirts_selection,shirts_target,shirts,breads_condition,breads_type,breads_selection,breads_target,breads,horses_condition,horses_type,horses_selection,horses_target,horses,bears_condition,bears_type,bears_selection,bears_target,bears,frogs_condition,frogs_type,frogs_selection,frogs_target,frogs,plates_condition,plates_type,plates_selection,plates_target,plates,books_condition,books_type,books_selection,books_target,books,elephants_condition,elephants_type,elephants_selection,elephants_target,elephants,lamps_condition,lamps_type,lamps_selection,lamps_target,lamps,bananas_condition,bananas_type,bananas_selection,bananas_target,bananas,butterflies_condition,butterflies_type,butterflies_selection,butterflies_target,butterflies
072315_01,3.014373717,3-3.5 years,A,"SI, DCCS, Quantifier",1,all,control_all,2,3,0,some,implicature,2,2,1,none,control_none,1,1,1,some,implicature,1,3,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,none,control_none,2,3,0,all,control_all,2,1,0,none,control_none,2,3,0,some,implicature,2,2,1,all,control_all,2,1,0,none,control_none,3,3,1,all,control_all,3,2,0,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1
070915_02,3.017111567,3-3.5 years,B,"SI, DCCS, Quantifier",1,none,control_none,2,1,0,all,control_all,2,1,0,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,1,3,0,some,implicature,2,2,1,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,3,0,some,implicature,1,2,0,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,3,3,1
080515_14,3.052703628,3-3.5 years,C,"SI, DCCS, Quantifier",1,some,implicature,3,2,0,none,control_none,2,3,0,all,control_all,2,3,0,none,control_none,2,1,0,some,implicature,3,2,0,all,control_all,2,3,0,none,control_none,2,1,0,all,control_all,3,2,0,some,implicature,2,2,1,all,control_all,3,1,0,none,control_none,2,1,0,some,implicature,2,2,1,all,control_all,2,1,0,some,implicature,1,3,0,none,control_none,2,3,0,some,implicature,1,3,0,all,control_all,1,2,0,none,control_none,2,1,0
080615_05,3.101984942,3-3.5 years,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,1,3,0,all,control_all,3,3,1,none,control_none,2,1,0,some,implicature,2,2,1,all,control_all,2,3,0,none,control_none,3,1,0,all,control_all,2,2,1,some,implicature,2,2,1,all,control_all,2,1,0,none,control_none,3,1,0,some,implicature,2,2,1,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,2,3,0,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,3,1,0
080415_04,3.115674196,3-3.5 years,A,"SI, DCCS, Quantifier",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,1,1,1,some,implicature,3,3,1,all,control_all,1,1,1,none,control_none,3,1,0,some,implicature,3,2,0,none,control_none,2,3,0,all,control_all,2,1,0,none,control_none,2,3,0,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,1,3,0,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,1,2,0,none,control_none,2,3,0,some,implicature,2,2,1
080415_02,3.143052704,3-3.5 years,A,"Quantifier, DCCS, SI",1,all,control_all,2,3,0,some,implicature,2,2,1,none,control_none,2,1,0,some,implicature,3,3,1,all,control_all,2,1,0,none,control_none,2,1,0,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,2,1,0,none,control_none,3,3,1,some,implicature,1,2,0,all,control_all,2,1,0,none,control_none,3,3,1,all,control_all,3,2,0,some,implicature,3,1,0,all,control_all,3,2,0,none,control_none,1,3,0,some,implicature,2,2,1
080615_04,3.195071869,3-3.5 years,B,"Quantifier, DCCS, SI",1,none,control_none,2,1,0,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,3,0,some,implicature,1,2,0,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,3,3,1
080415_09,3.211498973,3-3.5 years,B,"SI, DCCS, Quantifier",1,none,control_none,3,1,0,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,1,3,0,some,implicature,1,2,0,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,3,3,1
072215_06,3.222450376,3-3.5 years,C,"SI, DCCS, Quantifier",1,some,implicature,1,2,0,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,3,1,0,some,implicature,1,2,0,all,control_all,1,3,0,none,control_none,1,1,1,all,control_all,1,2,0,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,1,3,0,none,control_none,1,3,0,some,implicature,2,3,0,all,control_all,1,2,0,none,control_none,2,1,0
080615_03,3.258042437,3-3.5 years,B,"SI, DCCS, Quantifier",1,none,control_none,3,1,0,all,control_all,2,1,0,some,implicature,3,2,0,all,control_all,3,2,0,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,2,3,0,some,implicature,1,1,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,2,3,0,none,control_none,2,3,0,some,implicature,2,2,1,none,control_none,3,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,2,3,0
