Subj_ID,age,agegroup,gender,list,training(TV),carrots_condition,carrots_type,carrots_selection,carrots_target,carrots,hats_condition,hats_type,hats_selection,hats_target,hats,cookies_condition,cookies_type,cookies_selection,cookies_target,cookies,trains_condition,trains_type,trains_selection,trains_target,trains,cats_condition,cats_type,cats_selection,cats_target,cats,purses_condition,purses_type,purses_selection,purses_target,purses,keys_condition,keys_type,keys_selection,keys_target,keys,shirts_condition,shirts_type,shirts_selection,shirts_target,shirts,breads_condition,breads_type,breads_selection,breads_target,breads,horses_condition,horses_type,horses_selection,horses_target,horses,bears_condition,bears_type,bears_selection,bears_target,bears,frogs_condition,frogs_type,frogs_selection,frogs_target,frogs,plates_condition,plates_type,plates_selection,plates_target,plates,books_condition,books_type,books_selection,books_target,books,elephants_condition,elephants_type,elephants_selection,elephants_target,elephants,lamps_condition,lamps_type,lamps_selection,lamps_target,lamps,bananas_condition,bananas_type,bananas_selection,bananas_target,bananas,butterflies_condition,butterflies_type,butterflies_selection,butterflies_target,butterflies,double_coded,Notes,Trials,Adhoc,Adhoc_control,Some,Some_control
102714_02,4.01,4.0--4.5,m,1B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,scalar,control_none,3,3,1,adhoc,implicature,3,2,0,scalar,implicature,2,1,0,adhoc,control_distractor,2,3,0,scalar,control_unambiguous,2,2,1,adhoc,implicature,2,1,0,scalar,control_all,1,2,0,scalar,implicature,2,2,1,adhoc,control_comparison,1,1,1,scalar,implicature,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,implicature,1,1,1,scalar,implicature,2,1,0,adhoc,implicature,3,3,1,scalar,control_none,2,3,0,CCK,very chatty about the trials,,,,,
101314_05,4.02,4.0--4.5,m,2B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,3,3,1,adhoc,implicature,2,2,1,scalar,control_none,3,3,1,adhoc,control_comparison,2,2,1,scalar,implicature,2,2,1,scalar,control_all,3,3,1,adhoc,implicature,3,3,1,scalar,implicature,1,1,1,scalar,control_unambiguous,2,2,1,adhoc,control_comparison,3,3,1,scalar,implicature,2,2,1,adhoc,implicature,2,2,1,scalar,control_none,1,1,1,adhoc,implicature,1,1,1,SKA,,,,,,
101514_04,4.02,4.0--4.5,m,1B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,adhoc,control_comparison,3,3,1,scalar,control_none,2,3,0,adhoc,implicature,2,2,1,scalar,implicature,2,1,0,adhoc,control_distractor,3,3,1,scalar,control_unambiguous,2,2,1,adhoc,implicature,1,1,1,scalar,control_all,2,2,1,scalar,implicature,3,2,0,adhoc,control_comparison,1,1,1,scalar,implicature,3,2,0,scalar,control_unambiguous,3,3,1,adhoc,implicature,1,1,1,scalar,implicature,2,1,0,adhoc,implicature,3,3,1,scalar,control_none,1,3,0,CCK,Nametag wasn't taken off,,,,,
102414_04,4.03,4.0--4.5,f,2B,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,3,3,1,adhoc,implicature,2,2,1,scalar,control_none,3,3,1,adhoc,control_distractor,1,1,1,scalar,implicature,2,2,1,scalar,control_all,2,2,1,adhoc,implicature,3,3,1,scalar,implicature,1,1,1,scalar,control_unambiguous,2,2,1,adhoc,control_comparison,3,3,1,scalar,implicature,2,2,1,adhoc,implicature,2,2,1,scalar,control_none,1,1,1,adhoc,implicature,1,1,1,CCK,all correct,,,,,
101514_02,4.04,4.0--4.5,f,2A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,implicature,2,3,0,adhoc,implicature,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,control_all,1,1,1,adhoc,implicature,3,3,1,scalar,control_unambiguous,2,2,1,scalar,implicature,1,2,0,adhoc,control_distractor,1,1,1,scalar,control_none,2,3,0,scalar,implicature,3,2,0,adhoc,implicature,2,2,1,scalar,control_none,1,3,0,adhoc,control_comparison,1,1,1,scalar,implicature,3,2,0,adhoc,implicature,1,1,1,CCK,,,,,,
102414_05,4.04,4.0--4.5,m,1A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,adhoc,implicature,2,2,1,scalar,implicature,2,1,0,adhoc,control_comparison,3,3,1,scalar,control_none,3,3,1,adhoc,implicature,2,1,0,scalar,control_unambiguous,2,2,1,adhoc,control_distractor,3,3,1,scalar,implicature,1,1,1,scalar,control_none,3,1,0,adhoc,implicature,2,2,1,scalar,control_all,2,3,0,scalar,implicature,2,3,0,adhoc,control_comparison,2,2,1,scalar,control_unambiguous,1,1,1,adhoc,implicature,3,3,1,scalar,implicature,2,2,1,SKA,,,,,,
110414_03,4.09,4.0--4.5,f,2A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,implicature,3,3,1,adhoc,implicature,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,control_all,1,1,1,adhoc,implicature,3,3,1,scalar,control_unambiguous,2,2,1,scalar,implicature,2,2,1,adhoc,control_distractor,1,1,1,scalar,control_none,1,3,0,scalar,implicature,2,2,1,adhoc,implicature,2,2,1,scalar,control_none,2,3,0,adhoc,control_comparison,1,1,1,scalar,implicature,2,2,1,adhoc,implicature,1,1,1,,very good at scalar implicatures,,,,,
101714_01,4.11,4.0--4.5,f,2A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,scalar,implicature,3,3,1,adhoc,implicature,2,2,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,1,1,1,scalar,control_all,1,1,1,adhoc,implicature,3,3,1,scalar,control_unambiguous,2,2,1,scalar,implicature,1,1,1,adhoc,control_distractor,3,1,0,scalar,control_none,3,3,1,scalar,implicature,3,3,1,adhoc,implicature,2,2,1,scalar,control_none,3,3,1,adhoc,control_comparison,1,1,1,scalar,implicature,2,2,1,adhoc,implicature,1,1,1,SKA,,,,,,
101314_07,4.13,4.0--4.5,f,1A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,adhoc,implicature,2,2,1,scalar,implicature,2,1,0,adhoc,control_comparison,3,3,1,scalar,control_none,2,3,0,adhoc,control_comparison,2,2,1,scalar,control_unambiguous,2,2,1,adhoc,control_comparison,2,2,1,scalar,implicature,2,1,0,scalar,control_none,3,1,0,adhoc,implicature,2,2,1,scalar,control_all,3,3,1,scalar,control_unambiguous,3,3,1,adhoc,control_comparison,2,2,1,scalar,control_unambiguous,1,1,1,adhoc,implicature,3,3,1,scalar,implicature,1,2,0,SKA,,,,,,
110514_01,4.13,4.0--4.5,f,1A,1,adhoc,control_distractor,1,1,1,scalar,control_all,2,2,1,adhoc,implicature,2,2,1,scalar,implicature,2,1,0,adhoc,control_comparison,3,3,1,scalar,control_none,1,3,0,adhoc,control_comparison,1,2,0,scalar,control_unambiguous,3,2,0,adhoc,control_comparison,3,2,0,scalar,implicature,2,1,0,scalar,control_none,2,1,0,adhoc,implicature,2,2,1,scalar,control_all,3,3,1,scalar,control_unambiguous,2,3,0,adhoc,control_comparison,2,2,1,scalar,control_unambiguous,1,1,1,adhoc,implicature,3,3,1,scalar,implicature,1,2,0,SKA,,,,,,
