Subj_ID,age,agegroup,gender,list,training(TV),carrots_type,carrots_selectionType,carrots_location,carrots_target,carrots,hats_type,hats_selectionType,hats_location,hats_target,hats,cookies_type,cookies_selectionType,cookies_location,cookies_target,cookies,trains_type,trains_selectionType,trains_location,trains_target,trains,cats_type,cats_selectionType,cats_location,cats_target,cats,purses_type,purses_selectionType,purses_location,purses_target,purses,keys_type,keys_selectionType,keys_location,keys_target,keys,shirts_type,shirts_selectionType,shirts_location,shirts_target,shirts,breads_type,breads_selectionType,breads_location,breads_target,breads,horses_type,horses_selectionType,horses_location,horses_target,horses,bears_type,bears_selectionType,bears_location,bears_target,bears,frogs_type,frogs_selectionType,frogs_location,frogs_target,frogs,plates_type,plates_selectionType,plates_location,plates_target,plates,books_type,books_selectionType,books_location,books_target,books,elephants_type,elephants_selectionType,elephants_location,elephants_target,elephants,lamps_type,lamps_selectionType,lamps_location,lamps_target,lamps,bananas_type,bananas_selectionType,bananas_location,bananas_target,bananas,butterflies_type,butterflies_selectionType,butterflies_location,butterflies_target,butterflies,double_coded,Notes,Trials,Adhoc,Adhoc_control,Some,Some_control
120814_01,3.16,3.0--3.5,f,B,1,none,none,1,1,1,all,all,1,1,1,some,all,3,2,0,all,all,2,2,1,none,none,3,3,1,some,all,3,2,0,all,all,3,3,1,some,some,1,1,1,none,none,3,3,1,some,all,1,2,0,all,all,3,3,1,none,none,3,3,1,some,some,2,2,1,none,none,1,1,1,all,all,2,2,1,none,none,1,1,1,some,all,2,1,0,all,all,3,3,1,,young but got 'none's ,,,,,
121014_01,3.24,3.0--3.5,m,C,1,some,some,2,2,1,none,all,1,3,0,all,all,3,3,1,none,none,1,1,1,some,all,1,2,0,all,none,1,3,0,none,all,3,1,0,all,none,3,2,0,some,some,2,2,1,all,all,1,1,1,none,none,1,1,1,some,all,1,2,0,all,all,1,1,1,some,all,2,3,0,none,some,1,3,0,some,none,1,3,0,all,some,1,2,0,none,some,2,1,0,SKA,,,,,,
120514_01,3.29,3.0--3.5,f,B,1,none,all,3,1,0,all,all,1,1,1,some,all,3,2,0,all,all,2,2,1,none,all,1,3,0,some,all,3,2,0,all,all,3,3,1,some,all,2,1,0,none,all,1,3,0,some,all,1,2,0,all,all,3,3,1,none,all,1,3,0,some,all,1,2,0,none,all,2,1,0,all,all,2,2,1,none,all,2,1,0,some,all,2,1,0,all,all,3,3,1,SKA,"chose ""all"" everytime",,,,,
120914_01,3.31,3.0--3.5,m,A,1,all,some,2,3,0,some,some,2,2,1,none,some,2,1,0,some,some,3,3,1,all,some,2,1,0,none,some,2,1,0,some,some,2,2,1,none,some,1,3,0,all,some,2,1,0,none,some,2,3,0,some,some,2,2,1,all,some,2,1,0,none,some,2,3,0,all,some,3,2,0,some,some,1,1,1,all,some,2,3,0,none,some,1,3,0,some,some,2,2,1,,,,,,,
012015_03,3.32,3.0--3.5,F,C,1,some,all,3,2,0,none,all,1,3,0,all,all,3,3,1,none,none,1,1,1,some,all,1,2,0,all,all,3,3,1,none,none,1,1,1,all,all,3,3,1,some,all,1,2,0,all,all,1,1,1,none,none,1,1,1,some,all,1,2,0,all,all,1,1,1,some,all,2,3,0,none,none,3,3,1,some,all,2,3,0,all,all,2,2,1,none,none,1,1,1,,,,,,,
112014_01,3.33,3.0--3.5,m,A,1,all,all,3,3,1,some,all,1,2,0,none,all,3,1,0,some,all,2,3,0,all,some,2,1,0,none,none,1,1,1,some,some,2,2,1,none,none,3,3,1,all,some,2,1,0,none,some,2,3,0,some,some,2,2,1,all,all,1,1,1,none,some,2,3,0,all,some,3,2,0,some,all,2,1,0,all,all,2,2,1,none,all,2,3,0,some,some,2,2,1,ACH,,,,,,
112114_04,3.36,3.0--3.5,f,B,0,none,some,2,1,0,all,some,2,1,0,some,some,2,2,1,all,all,2,2,1,none,some,2,3,0,some,all,3,2,0,all,some,2,3,0,some,some,1,1,1,none,some,2,3,0,some,all,2,1,0,all,all,3,3,1,none,all,1,3,0,some,all,2,2,1,none,all,2,1,0,all,some,1,2,0,none,all,2,1,0,some,some,1,1,1,all,some,2,3,0,CCK,"comprehension of pictures (names them), but seems to have low comprehension to instructions",,,,,
120914_02,3.39,3.0--3.5,m,B,1,none,all,3,1,0,all,all,1,1,1,some,all,3,2,0,all,all,2,2,1,none,all,1,3,0,some,all,3,2,0,all,all,3,3,1,some,none,3,1,0,none,none,3,3,1,some,none,3,2,0,all,none,1,3,0,none,all,1,3,0,some,none,3,2,0,none,none,1,1,1,all,none,3,2,0,none,all,2,1,0,some,all,2,1,0,all,all,3,3,1,,,,,,,
112114_05,3.44,3.0--3.5,f,A,1,all,all,3,3,1,some,some,2,2,1,none,all,3,1,0,some,all,2,3,0,all,all,1,1,1,none,all,3,1,0,some,all,3,1,0,none,all,2,3,0,all,all,1,1,1,none,some,2,3,0,some,all,3,2,0,all,some,2,1,0,none,all,2,3,0,all,all,2,2,1,some,all,2,1,0,all,all,2,2,1,none,all,2,3,0,some,all,3,2,0,SKA,,,,,,
012015_01,3.47,3.0--3.5,m,A,1,all,all,3,3,1,some,all,1,2,0,none,some,2,1,0,some,all,2,3,0,all,all,1,1,1,none,all,3,1,0,some,all,3,2,0,none,some,1,3,0,all,all,1,1,1,none,none,3,3,1,some,none,1,2,0,all,all,1,1,1,none,all,1,3,0,all,all,2,2,1,some,some,1,1,1,all,none,1,2,0,none,some,2,3,0,some,all,3,2,0,,,,,,,
